isbn,title,author,publisher,year,stock
255276464-9,"Wedding Song, The ",Ragnar Asipenko,Schmeler-Carroll,2002,35
536275950-7,Romeo and Juliet,Michaela Coldtart,Thiel LLC,1992,9
289691753-5,Miral,Tiler Cisson,Mertz-Fisher,2011,99
067295853-8,"Greystoke: The Legend of Tarzan, Lord of the Apes",Gordan Muscat,Hirthe-Bauch,1999,87
198561333-6,From Beijing with Love,Marie-jeanne Oldland,Adams-Hermann,1985,14
017288996-0,Torrente 5: Operación Eurovegas,Claudina Trustrie,"Stoltenberg, Kilback and Monahan",2000,51
795180308-1,Daens,Leslie Speedy,"Block, Pouros and Toy",1987,35
356268205-0,Vehicle 19,Paulina Sewall,Gottlieb and Sons,1985,64
320439558-8,"Hawaii, Oslo",Wittie Lytell,Hauck and Sons,1965,92
328421301-5,Heartbeeps,Patrizia Senescall,Schneider-Wyman,2008,21
806567094-6,Prizzi's Honor,Laurie Stranahan,"Johnston, Kirlin and Douglas",2010,74
439341480-2,Queen of Blood,Dillie Bowker,Blick LLC,1996,68
961963957-X,"Black Power Mixtape 1967-1975, The",Aguie Cheesman,Murray-Sipes,1993,35
821622859-7,Mulberry Street,Kasper Northway,"Langworth, Cummerata and Boyle",1993,30
482773088-1,Francis,Harlen Taunton,"Howell, O'Keefe and Abernathy",1994,14
739047719-9,Stargate: Continuum,Lidia Sneaker,Kerluke-Bogisich,1992,22
685402519-2,"Caine Mutiny, The",Sherry Keuneke,Mueller-Kemmer,1990,4
703393908-6,Gods and Generals,Esme Marmion,Maggio-Nienow,1999,72
227095332-0,Class Reunion,Bernard Di Biasio,Kreiger-Marvin,1992,19
899399319-X,Deepstar Six,Bartie Wimes,Torp-Hirthe,2011,9
794344586-4,"Time Machine, The",Karlik MacRierie,Prohaska-Kuhlman,1988,24
899182163-4,Sione's Wedding (Samoan Wedding),Jarrad Hrihorovich,O'Conner-MacGyver,2007,44
312625090-4,Life Stinks,Gerald Fidelus,"Leffler, Gorczany and Sporer",2005,34
759039878-0,Catwoman,Robby Cordelette,Goldner LLC,1985,50
137670606-7,Death and Cremation,Drake Harken,"Bogan, Konopelski and Denesik",2008,90
876530696-1,Abbott and Costello Go to Mars,Marrissa Dutteridge,Cassin and Sons,1926,55
470271544-5,Purple Butterfly (Zi hudie),Lisbeth Jeffcoat,"Labadie, Hackett and Hoppe",2008,50
934178328-3,Dutchman,Ruttger Chatin,"Lindgren, Schmidt and Champlin",2004,98
884540523-0,"Outlaw Josey Wales, The",Land Blackborne,"Kihn, Bednar and Bergstrom",2004,95
858514046-1,Pokémon Heroes,Zandra Reichardt,Reinger-Keebler,1995,17
913454882-3,"Marine, The",Elvis Payton,"Rippin, Davis and Gottlieb",2003,60
746927073-6,Daddy Day Care,Timothy Reide,McDermott Inc,1993,90
280593025-8,"Confessional, The (Confessionnal, Le)",Dru Skentelbury,"Wiza, Schaden and Jenkins",1994,23
676162593-9,"Actress, The",Willdon Herries,"Schumm, Weber and Jacobi",2002,79
594668868-5,Water for Elephants,Aloysia Barron,Swift-Roob,2002,10
172077643-1,"Stone Angel, The",Gualterio Twine,Kub Inc,2004,61
732561238-9,On the Ropes,Melisenda Basnett,"Wisozk, Lockman and Predovic",2001,32
